User Name,Book Title,Book Author,Genre,Sub-Genre
NYboySunny,The French Lieutenant's Woman,John Fowles,Fiction,Literary Fiction
NYboySunny,Bleak House,Charles Dickens,Fiction,Historical Fiction
NYboySunny,The Sun Also Rises,Ernest Hemingway,Fiction,Literary Fiction
NYboySunny,Blonde,Joyce Carol Oates,Fiction,Literary Fiction
NYboySunny,When Will There Be Good News?,Kate Atkinson,Fiction,Mystery/Thrillers
NYboySunny,The Vaster Wilds,Lauren Groff,Fiction,Historical Fiction
NYboySunny,Book Lovers,Emily Henry,Fiction,Romance
NYboySunny,Metallic Realms,Lincoln Michel,Fiction,Literary Fiction
NYboySunny,Rebecca,Daphne Du Maurier,Fiction,Mystery/Thrillers
NYboySunny,Butcher,Joyce Carol Oates,Fiction,Literary Fiction
Fox415,The Second Rebel,Linden Lewis,Fiction,Sci-Fi
Fox415,People We Meet on Vacation,Emily Henry,Fiction,Romance
Fox415,"Brighter Than Scale, Swifter Than Flame",Neon Yang,Fiction,Fantasy
BraveLeo,Bury Our Bones in the Midnight Soil,V.E. Schwab,Fiction,Fantasy
BraveLeo,Crime and Punishment,Fyodor Dostoevsky,Fiction,Literary Fiction
BraveLeo,Bibliophobia: A Memoir,Sarah Chihaya,Non-Fiction,Memoir/Biography
Odin42,Inherent Vice,Thomas Pynchon,Fiction,Literary Fiction
Odin42,The Vegetarian,Han Kang,Fiction,Literary Fiction
LAreadrHaz,Home,Marilynne Robinson,Fiction,Literary Fiction
LAreadrHaz,The Catcher In The Rye,J.D. Salinger,Fiction,Literary Fiction
LAreadrHaz,Old School,Tobias Wolff,Fiction,Literary Fiction
PixelMax,Station Eleven,Emily St. John Mandel,Fiction,Dystopian
PixelMax,Flowers For Algernon,Daniel Keyes,Fiction,Sci-Fi
PixelMax,Atmosphere: A Love Story,Taylor Jenkins Reid,Fiction,History
PixelMax,The Seven Year Slip,Ashley Poston,Fiction,Literary Fiction
PixelMax,One Golden Summer,Carley Fortune,Fiction,Literary Fiction
PixelMax,Happy Place,Emily Henry,Fiction,Romance
PixelMax,The Unmaking of June Farrow,Adrienne Young,Fiction,Literary Fiction
NYbuzzRave,Water For Elephants,Sara Gruen,Fiction,Literary Fiction
NYbuzzRave,We Are All Guilty Here,Karin Slaughter,Fiction,Literary Fiction
NYbuzzRave,William Shakespear's Star Wars: Verily A New Hope,Ian Doescher,Fiction,Literary Fiction
NYbuzzRave,The Witch's Orchard,Archer Sullivan,Fiction,Literary Fiction
NYbuzzRave,A Drink Before The War,Dennis Lehane,Fiction,Literary Fiction
NYbuzzRave,Darkness Take My Hand,Dennis Lehane,Fiction,Literary Fiction
NYbuzzRave,When Cranes Fly South,Lisa Ridzen,Fiction,Literary Fiction
CAnerdScou,The Nightingale,Kristin Hannah,Fiction,Literary Fiction
CAnerdScou,Ashfall,Mike Mullin,Fiction,Literary Fiction
CAnerdScou,Adrift: 76 Days Lost At Sea,Steven Callahan,Fiction,Literary Fiction
CAnerdScou,Flowers for Algernon,Daniel Keyes,Fiction,Sci-Fi
Atlas88,Royals and Ruses,S. Usher Evans,Fiction,Literary Fiction
Atlas88,A Terribly Nasty Business,Julia Seales,Fiction,Literary Fiction
Atlas88,Pearls and Potions,S. Usher Evans,Fiction,Literary Fiction
EchoWay,Wild Dark Shore,Charlotte McConaghy,Fiction,Literary Fiction
EchoWay,James,Percival Everett,Fiction,Literary Fiction
EchoWay,Parable of the Talents,Octavia E. Butler,Fiction,Literary Fiction
EchoWay,The Emperor Of Gladness,Ocean Vuong,Fiction,Literary Fiction
BlueJay7,The House of the Cerulean Sea,T.J. Klune,Fiction,Literary Fiction
BlueJay7,Inheritance,Nora Roberts,Fiction,Literary Fiction
BlueJay7,The Ancestor,Daniel Truss,Fiction,Literary Fiction
BlueJay7,The Mirror,Nora Roberts,Fiction,Literary Fiction
BlueJay7,Queen of the night,Alexander Chee,Fiction,Literary Fiction
BlueJay7,Making Rounds With Oscar,David Dosa MD,Fiction,Literary Fiction
BlueJay7,Crosstown Crush,Cara McKenna,Fiction,Literary Fiction
BlueJay7,Queen Macbeth,Val McDermid,Fiction,Literary Fiction
SFacctNova,Lila,Marilynne Robinson,Fiction,Literary Fiction
SFacctNova,Gilead,Marilynne Robinson,Fiction,Literary Fiction
SFacctNova,Cleanness,Gerth Greenwell,Fiction,Literary Fiction
SFacctNova,Small Rain,Gerth Greenwell,Fiction,Literary Fiction
SFacctNova,The Feast of the Goat,Mario Vargas Llosa,Fiction,Literary Fiction
SFacctNova,Danubia,Simon Winder,Fiction,Literary Fiction
SFacctNova,East of Eden,John Steinbeck,Fiction,Literary Fiction
SFacctNova,Tyll,Daniel Kehlmann,Fiction,Literary Fiction
SFacctNova,Fools Crow,James Welch,Fiction,Literary Fiction
SFacctNova,Home,Toni Morrison,Fiction,Literary Fiction
PAofMilo,Piranesi,Susanna Clarke,Fiction,Fantasy
PAofMilo,Every Living Thing,Jason Roberts,Fiction,Literary Fiction
PAofMilo,Left Hand of Darkness,Ursula K. Le Guin,Fiction,Sci-Fi
PAofMilo,Idol Burning,Rin Usami,Fiction,Literary Fiction
PAofMilo,The Mountain in the Sea,Ray Nayler,Fiction,Literary Fiction
WittyZen,The Aquanut,Dan Santat,Fiction,Literary Fiction
WittyZen,The Mysterious Benedict Society,Trenton Lee Stewart,Fiction,Literary Fiction
WittyZen,All Creatures Great and Small,James Herriot,Fiction,Literary Fiction
WittyZen,Say Nothing,Patrick Radden Keefe,Non-Fiction,History
WittyZen,Black Beauty,Anna Sewell,Fiction,Literary Fiction
WittyZen,Star Wars: The Princess and the Scoundrel,Beth Revis,Fiction,Sci-Fi
WittyZen,Death Comes for the Archbishop,Willie Cather,Fiction,Literary Fiction
Arya23,Under the Eye of the Big Bird,Hiromi Kawakami,Fiction,Literary Fiction
Arya23,The Will of the Many,James Islington,Fiction,Fantasy
Arya23,The Safekeep,Yael Van Der Wouden,Fiction,Literary Fiction
Arya23,My Brilliant Friend,Elena Ferrante,Fiction,Literary Fiction
Arya23,Endling,Maria Reva,Fiction,Literary Fiction
Arya23,Earthsea Tehanu,Ursula K. Le Guin,Fiction,Sci-Fi
Arya23,Foster,Claire Keegan,Fiction,Literary Fiction
Arya23,Seascraper,Benjamin Wood,Fiction,Literary Fiction
Arya23,On the Calculation of Volume,Solvej Balle,Fiction,Literary Fiction
BoldBear,The Music of Chance,Paul Auster,Fiction,Literary Fiction
BoldBear,Moonglow,Michael Chabon,Fiction,Literary Fiction
BoldBear,The Book of Illusions,Paul Auster,Fiction,Literary Fiction
BoldBear,Against The Day,Thomas Pynchon,Fiction,Literary Fiction
BoldBear,Pattern Recognition,William Gibson,Fiction,Literary Fiction
BoldBear,The Invisible Circus,Jennifer Egan,Fiction,Literary Fiction
Finn312,All Fours,Miranda July,Fiction,Literary Fiction
Finn312,Perfume,Patrick Suskind,Fiction,Literary Fiction
Finn312,Doppleganger,Naomi Klein,Fiction,Literary Fiction
Finn312,Are Prisons Obsolete?,Angela Y. Davis,Non-Fiction,
MAboySalem,Lucky Day,Chuck Tingle,Fiction,Literary Fiction
MAboySalem,Of Monsters and Mainframes,Barbara Truelove,Fiction,Literary Fiction
MAboySalem,The Tommyknockers,Stephen King,Fiction,Horror
CleverAnt,The Boys,Ron Howard,Fiction,Literary Fiction
CleverAnt,Great Big Beautiful Life,Emily Henry,Fiction,Romance
CleverAnt,A Monster Calls,Patrick Ness,Fiction,Literary Fiction
NeoChi,Babel,R.F. Kuang,Fiction,Literary Fiction
NeoChi,No Longer Human,Osamu Dazai,Fiction,Literary Fiction
CozyVale,The Pocket Factory,Alexander Graeme,Fiction,Literary Fiction
CozyVale,The Dungeon Anarchist's Cookbook,Matt Dinniman,Fiction,Fantasy
CozyVale,Halo: The Fall of the Reach,Eric Nylund,Fiction,Sci-Fi
MNatThor,Open Water,Caleb Azumah Nelson,Fiction,Literary Fiction
MNatThor,Annie Bot,Sierra Greer,Fiction,Literary Fiction
MNatThor,Junie,Erin Crosby Eckstine,Fiction,Literary Fiction
IndieRay,The Radium Girls,Kate Moore,Fiction,Literary Fiction
IndieRay,A Discovery of Witches,Deborah Harkness,Fiction,Fantasy
IndieRay,Project Hail Mary,Andy Weir,Fiction,Sci-Fi
DCgirlRuby,10 Minutes 38 Seconds in This Strange,Elif Shafak,Fiction,Literary Fiction
DCgirlRuby,The End of Policing,Alex S. Vitale,Fiction,Literary Fiction
DCgirlRuby,The Safekeep,Yael Van Der Wouden,Fiction,Literary Fiction
DCgirlRuby,No Country For Old Men,Cormac McCarthy,Fiction,Literary Fiction
DCgirlRuby,Life Is A Lazy Susan of Shit Sandwiches,Jennifer Welch,Non-Fiction,Humor
DCgirlRuby,Convenience Store Woman,Sayaka Murata,Fiction,Literary Fiction
DCgirlRuby,The Emperor of Gladness,Ocean Vuong,Fiction,Literary Fiction
DCgirlRuby,Klara and the Sun,Kazuo Ishiguro,Fiction,Literary Fiction
DCgirlRuby,Endling,Maria Reva,Fiction,Literary Fiction
DCgirlRuby,Sky Daddy,Kate Folk,Fiction,Literary Fiction
ZippyDog,Born a Crime,Trevor Noah,Non-Fiction,Biography/Memoir
ZippyDog,Summer Romance,Annabel Monaghan,Fiction,Literary Fiction
ZippyDog,The Seven O'Clock Club,Amelia Ireland,Fiction,Literary Fiction
Poe503,The Metamorphosis,Frank Kafka,Fiction,Literary Fiction
Poe503,Be Kind My Neighbor,Yugo Limbo,Fiction,Literary Fiction
Poe503,Alchemy and a Cup of Tea,Rebecca Thorne,Fiction,Literary Fiction
Poe503,Horsefly,Mireille Gagne,Fiction,Literary Fiction
SunnyOak,Tom Lake,Ann Patchett,Fiction,Literary Fiction
SunnyOak,The Summer Storm,Sarah MacLean,Fiction,Literary Fiction
SunnyOak,A Witch's Guide to Magical Innkeeping,Sangu Mandanna,Fiction,Fantasy
TXbuzzHawk,I Who Have Never Known Men,Jacqueline Harpman,Fiction,Literary Fiction
TXbuzzHawk,Trust,Hernan Diaz,Fiction,Literary Fiction
TXbuzzHawk,Pride and Predjudice,Jane Austen,Fiction,Literary Fiction
TXbuzzHawk,Monstrilio,Gerardo Samano Cordova,Fiction,Literary Fiction
LunaFox,The Invisible Life of Addie LaRue,V.E. Schwab,Fiction,Fantasy
LunaFox,The Spear Cuts Through Water,Simon Jimenez,Fiction,Literary Fiction
LunaFox,Jonathan Strange and Mr Norrell,Susanna Clarke,Fiction,Fantasy
LunaFox,Piranesi,Susanna Clarke,Fiction,Fantasy
