rank,favorite_count,title,author,isbn,genre,sub_genre
100,4,Tomorrow And Tomorrow And Tomorrow,Gabrielle Zevin,,fiction,General Fiction
101,3,A Deadly Education,Naomi Novik,9780593128497,fiction,Fantasy
102,3,All Fours,Miranda July,,fiction,General Fiction
103,3,All Systems Red,Martha Wells,,fiction,Sci-Fi
104,3,American Gods,Neil Gaiman,,fiction,Fantasy
105,3,A Psalm For The Wild-Built,Becky Chambers,9781250236227,fiction,
106,3,A Room Of One's Own,Virginia Woolf,,fiction,General Fiction
107,3,A Short Stay In Hell,Steven L. Peck,,fiction,General Fiction
108,3,Atomic Habits,James Clear,9781473537804,fiction,
109,3,Babel,R. F. Kuang,9780063021440,fiction,
110,3,Cloud Cuckoo Land,Anthony Doerr,9781804220146,fiction,
111,3,Convenience Store Woman,Sayaka Murata,,fiction,General Fiction
112,3,Cutting For Stone,Abraham Verghese,9780375414497,fiction,
113,3,Daisy Jones & The Six: Reese's Book Club,Taylor Jenkins Reid,9780593598429,fiction,
114,3,Frankenstein,Mary Shelley,,fiction,General Fiction
115,3,Funny Story,Emily Henry,9780241624142,fiction,
116,3,Gates Of Fire,Steven Pressfield,,fiction,General Fiction
117,3,Hail Mary,Andy Weir,,fiction,Sci-Fi
118,3,Harry Potter,J. K. Rowling,9781408812525,fiction,
119,3,Infinite Jest,David Foster Wallace,,fiction,General Fiction
120,3,Jurassic Park : [Novel],Michael Crichton,9780345370778,fiction,
121,3,Just Mercy,Bryan Stevenson,,fiction,General Fiction
122,3,Kafka On The Shore,Haruki Murakami,9781400044818,fiction,
123,3,Kim Jiyoung Born 1982,Cho Nam-Joo,,fiction,General Fiction
124,3,Kitchen Confidential,Anthony Bourdain,,nonfiction,Memoir/Biography
125,3,Klara And The Sun,Kazuo Ishiguro,,fiction,General Fiction
126,3,Know My Name,Chanel Miller,,fiction,General Fiction
127,3,Margo's Got Money Troubles,Rufi Thorpe,,fiction,General Fiction
128,3,Moby Dick,Herman Melville,,fiction,General Fiction
129,3,My Year Of Rest And Relaxation,Ottessa Moshfegh,,fiction,General Fiction
130,3,No Country For Old Men,Cormac Mccarthy,,fiction,General Fiction
131,3,North Woods,Daniel Mason,,fiction,General Fiction
132,3,Parable Of The Sower,Octavia E. Butler,,fiction,General Fiction
133,3,Roadside Picnic,Arkady Strugatsky,,fiction,Sci-Fi
134,3,Say Nothing,Patrick Radden Keefe,,nonfiction,History
135,3,She's Come Undone,Wally Lamb,,fiction,General Fiction
136,3,Slaughterhouse-Five,Kurt Vonnegut,9780385333849,fiction,
137,3,Stories Of Your Life And Others,Ted Chiang,9781101972120,fiction,
